last_name, first_name,player_id,year,player_age,b_total_pa,b_home_run,batting_avg,slg_percent,r_total_stolen_base,r_stolen_base_pct,xba,xslg,exit_velocity_avg,launch_angle_avg,hard_hit_percent,sprint_speed,
Gallagher, Cam,595956,2021,29,124,1,.250,.330,0,,.250,.314,85.9,14.5,27.4,24.7,
Hedges, Austin,595978,2021,29,312,10,.178,.308,1,,.193,.288,85.7,18.9,30.1,24.5,
Lindor, Francisco,596019,2021,28,524,20,.230,.412,10,,.253,.449,90.7,14.4,44.1,27.8,
Nogowski Jr., John,596056,2021,28,143,1,.233,.310,0,,.241,.312,88.1,15.6,28.7,25.1,
Odor, Rougned,596059,2021,27,361,15,.202,.379,0,,.200,.370,89.1,19.6,38,26.7,
Slater, Austin,596103,2021,29,306,12,.241,.423,15,,.255,.437,87.1,7.8,41.6,28.4,
Story, Trevor,596115,2021,29,595,24,.251,.471,20,,.243,.443,90.6,17.5,42.6,28.7,
Vogelbach, Daniel,596129,2021,29,258,9,.219,.381,0,,.237,.389,91.4,11.7,48.7,24.3,
Sanchez, Gary,596142,2021,29,440,23,.204,.423,0,,.227,.450,89.5,20.5,42,25.3,
Kepler, Max,596146,2021,28,490,19,.211,.413,10,,.255,.452,89.8,16.3,42.5,27.4,
Franco, Maikel,596748,2021,29,403,11,.210,.355,0,,.224,.340,88.2,9.1,33.9,25.0,
Garcia, Robel,596825,2021,28,117,1,.151,.208,0,,.185,.238,86.5,14.3,33.3,27.1,
Choi, Ji-Man,596847,2021,30,305,11,.229,.411,0,,.237,.423,91.2,14.8,46.8,25.4,
Bradley Jr., Jackie,598265,2021,31,428,6,.163,.261,7,,.198,.294,89.7,9.6,40.3,27.2,
La Stella, Tommy,600303,2021,32,242,7,.250,.405,0,,.280,.460,88.9,13.5,33.3,24.9,
Severino, Pedro,600474,2021,28,419,11,.248,.383,0,,.249,.397,88.2,15.2,38.5,25.9,
Candelario, Jeimer,600869,2021,28,626,16,.271,.443,0,,.278,.462,88.7,12.6,39.1,27.2,
Daza, Yonathan,602074,2021,27,331,2,.282,.355,2,,.259,.334,85.2,6.6,27,28.3,
Urias, Ramon,602104,2021,27,296,7,.279,.412,1,,.269,.425,89.6,5.2,42.5,27.0,
Rondon, Jose,602922,2021,27,90,3,.263,.413,2,,.238,.359,86.1,19.6,33.8,27.6,
Ahmed, Nick,605113,2021,31,473,5,.221,.339,7,,.208,.290,87.2,10.1,27.9,27.8,
Anderson, Brian,605119,2021,28,264,7,.249,.378,5,,.215,.374,88.8,11.3,38.7,27.0,
Barnes, Austin,605131,2021,32,225,6,.215,.345,1,,.213,.311,85.2,13.5,31.7,26.9,
Bell, Josh,605137,2021,29,568,27,.261,.476,0,,.276,.485,92.5,4.9,52,26.2,
Betts, Mookie,605141,2021,29,550,23,.264,.487,10,,.262,.443,90.3,18.9,41,27.1,
Caratini, Victor,605170,2021,28,356,7,.227,.323,2,,.227,.354,90,8.4,44.3,24.9,
Davis, J.D.,605204,2021,28,211,5,.285,.436,1,,.248,.407,89.7,13.2,42.5,26.9,
Garcia, Aramis,605244,2021,28,94,3,.205,.318,0,,.191,.293,88.5,9.7,37.1,25.8,
Panik, Joe,605412,2021,31,257,3,.208,.284,2,,.238,.324,86.5,9.7,25.5,26.2,
Perez, Michael,605421,2021,29,231,7,.143,.290,0,,.171,.302,85.7,10.2,33.1,25.1,
Zimmer, Bradley,605548,2021,29,348,8,.227,.344,15,,.224,.369,90.7,7,42.5,29.4,
Castro, Harold,605612,2021,28,339,3,.283,.359,1,,.287,.413,88.6,10.2,38.5,26.2,
Arcia, Orlando,606115,2021,27,89,2,.198,.309,1,,.199,.308,88.2,8.9,38.1,26.8,
Tapia, Raimel,606132,2021,27,533,6,.273,.372,20,,.249,.315,85.7,-4.4,31.5,28.3,
Aquino, Aristides,606157,2021,27,204,10,.190,.408,2,,.188,.395,89,22.9,39.6,28.3,
Hernandez, Teoscar,606192,2021,29,595,32,.296,.524,12,,.282,.530,91.8,13.1,49,28.5,
Mercedes, Yermin,606213,2021,28,262,7,.271,.404,0,,.246,.416,87.3,15.8,29.2,26.4,
Peraza, Jose,606299,2021,27,154,6,.204,.380,1,,.212,.335,85.6,20.8,25,27.6,
Marte, Ketel,606466,2021,28,374,14,.318,.532,2,,.306,.489,91.1,10.3,48.4,26.7,
Greiner, Grayson,606988,2021,29,82,1,.236,.333,0,,.169,.260,85.4,15.4,28.6,26.5,
Haase, Eric,606992,2021,29,381,22,.231,.459,2,,.234,.459,90.9,16,47.9,27.9,
Nimmo, Brandon,607043,2021,28,386,8,.292,.437,5,,.272,.391,89.3,8.8,41.1,28.9,
Peterson, Jace,607054,2021,31,302,6,.247,.367,10,,.238,.370,87.7,12,34.7,28.1,
Turner, Trea,607208,2021,28,646,28,.328,.536,32,,.303,.480,89.6,11.4,46.2,30.7,
Smith, Kevan,607345,2021,33,106,0,.168,.200,0,,.185,.240,87.5,5.7,34.4,25.4,
Beaty, Matt,607461,2021,28,234,7,.270,.402,2,,.233,.344,86.7,12.3,30.6,27.1,
Blandino, Alex,607468,2021,29,82,0,.200,.257,1,,.174,.244,85.4,13.6,31,25.0,
Pillar, Kevin,607680,2021,32,347,15,.231,.415,4,,.223,.371,85.8,20.2,31.8,27.6,
Stallings, Jacob,607732,2021,32,427,8,.246,.369,0,,.245,.369,88.1,10.7,36.4,24.1,
Ramirez, Jose,608070,2021,29,636,36,.266,.538,27,,.281,.505,90,18.3,42.4,28.2,
Bregman, Alex,608324,2021,27,400,12,.270,.422,1,,.262,.421,89,15.9,38.1,25.6,
Gallo, Joey,608336,2021,28,616,38,.199,.458,6,,.201,.460,91.5,22.7,45.8,27.4,
Kelly, Carson,608348,2021,27,359,13,.240,.411,0,,.251,.423,88.2,18.6,34,25.6,
Seager, Corey,608369,2021,27,409,16,.306,.521,1,,.295,.530,91,10.7,49.3,26.5,
Winker, Jesse,608385,2021,28,485,24,.305,.556,1,,.294,.521,90.6,10.8,47.1,25.8,
Mazara, Nomar,608577,2021,26,181,3,.212,.321,0,,.212,.341,90.4,11.1,39.7,26.4,
Murphy, Tom,608596,2021,30,325,11,.202,.350,0,,.193,.347,88.6,15.9,38.1,27.0,
Jankowski, Travis,608671,2021,30,157,1,.252,.351,5,,.223,.286,85.2,6.9,20.2,28.7,
Mayfield, Jack,608686,2021,31,290,10,.218,.387,5,,.187,.317,85.3,16.8,26.7,27.2,
Plawecki, Kevin,608700,2021,30,173,3,.287,.389,0,,.258,.428,87.3,13.4,34.8,25.4,
Refsnyder, Rob,608701,2021,30,157,2,.245,.338,1,,.262,.438,89.2,9.3,41,27.3,
Mondesi, Adalberto,609275,2021,26,136,6,.230,.452,15,,.231,.465,92.3,16.1,44.2,28.5,
Andujar, Miguel,609280,2021,26,162,6,.253,.383,0,,.268,.416,87.1,6.1,37,27.6,
Vosler, Jason,613564,2021,28,82,3,.178,.356,2,,.212,.398,88.5,18.6,35.8,26.4,
Cordero, Franchy,614173,2021,27,136,1,.189,.260,1,,.194,.293,88.6,7.7,40.3,28.6,
Reyes, Franmil,614177,2021,26,466,30,.254,.522,4,,.244,.504,92,9.7,48.5,26.1,
Torrens, Luis,620443,2021,25,378,15,.243,.431,0,,.244,.426,90.9,6.1,43.2,26.8,
Robertson, Daniel,621002,2021,27,90,2,.164,.274,0,,.179,.290,82.9,10.4,23.4,26.5,
Martin Jr., Richie,621006,2021,27,105,1,.235,.286,0,,.217,.274,85.8,8.3,29.2,29.4,
Schrock, Max,621011,2021,27,134,3,.288,.448,1,,.265,.370,85,18.5,24.5,27.2,
Swanson, Dansby,621020,2021,27,653,27,.248,.449,9,,.250,.453,89.3,14.1,42.7,28.4,
Newman, Kevin,621028,2021,28,554,5,.226,.309,6,,.255,.330,85.3,9.9,26,28.4,
Taylor, Chris,621035,2021,31,582,20,.254,.438,13,,.237,.421,88.2,17.4,38.1,28.8,
