last_name, first_name,player_id,year,player_age,b_total_pa,b_home_run,batting_avg,slg_percent,r_total_stolen_base,r_stolen_base_pct,xba,xslg,exit_velocity_avg,launch_angle_avg,hard_hit_percent,sprint_speed,
Jackson, Alex,656577,2021,26,151,3,.137,.237,0,,.131,.230,89.6,20.7,41.4,26.9,
Joe, Connor,656582,2021,29,211,8,.285,.469,0,,.283,.463,88.2,14.6,39,27.0,
Luplow, Jordan,656669,2021,28,193,11,.202,.454,1,,.188,.397,86.8,23.1,32.1,27.6,
McKinstry, Zach,656716,2021,26,172,7,.215,.405,1,,.212,.372,88.4,13.7,35.1,27.9,
Mullins II, Cedric,656775,2021,27,675,30,.291,.518,30,,.272,.447,89.4,14.8,39.4,28.5,
O'Hearn, Ryan,656811,2021,28,254,9,.225,.369,0,,.234,.394,90.8,14.3,45.2,27.8,
Peters, DJ,656847,2021,26,240,13,.197,.422,2,,.197,.371,87.5,16.4,38.9,29.0,
Rivera, Emmanuel,656896,2021,25,98,1,.256,.333,2,,.280,.377,91.1,7.2,47.8,27.4,
Schwarber, Kyle,656941,2021,28,471,32,.266,.554,1,,.264,.563,92.3,15.4,52.2,26.8,
Smith, Pavin,656976,2021,25,545,11,.267,.404,1,,.257,.399,87.2,9,42.7,26.5,
Thomas, Lane,657041,2021,26,264,7,.235,.412,7,,.232,.379,91,12.3,45.7,29.0,
Tucker, Cole,657061,2021,25,131,2,.222,.342,2,,.228,.312,86.7,8.5,29.4,27.6,
Verdugo, Alex,657077,2021,25,604,13,.289,.426,6,,.285,.446,90,7.7,43.3,27.0,
White, Evan,657108,2021,25,104,2,.144,.237,0,,.191,.293,85.2,19.6,28.8,28.0,
DeJong, Paul,657557,2021,28,402,19,.197,.390,4,,.211,.416,86.3,16.4,35.3,27.5,
Laureano, Ramon,657656,2021,27,378,14,.246,.443,12,,.243,.455,87.9,11.9,40.2,27.6,
Sheets, Gavin,657757,2021,25,179,11,.250,.506,0,,.246,.448,90.4,11.7,44.6,26.7,
Fuentes, Joshua,658069,2021,28,284,7,.225,.351,0,,.204,.281,85.2,18.3,27.5,27.6,
Olivares, Edward,658668,2021,25,111,5,.238,.406,2,,.236,.389,87.3,7.9,31,29.3,
Moncada, Yoan,660162,2021,26,616,14,.263,.412,3,,.258,.422,90.1,11.3,41.2,27.7,
Ohtani, Shohei,660271,2021,27,639,46,.257,.592,26,,.267,.606,93.9,16.6,53.6,28.8,
Tsutsugo, Yoshi,660294,2021,30,262,8,.217,.383,0,,.193,.344,89.6,17.1,38.1,26.2,
Arauz, Jonathan,660620,2021,23,75,3,.185,.369,0,,.197,.310,85.9,17.3,30.8,27.0,
Hernandez, Yonny,660634,2021,23,166,0,.217,.252,11,,.251,.296,83.1,4.1,15.9,26.8,
Acuna Jr., Ronald,660670,2021,24,360,24,.283,.596,17,,.293,.598,93.8,18.2,54.8,29.4,
Ruiz, Keibert,660688,2021,23,96,3,.273,.409,0,,.263,.381,86,18.6,30.4,25.6,
Sanchez, Jesus,660821,2021,24,251,14,.251,.489,0,,.244,.479,90.2,8.7,42.7,27.8,
Park, Hoy,660829,2021,25,150,3,.195,.336,1,,.216,.340,85.9,15.8,25,28.3,
Contreras, William,661388,2021,24,185,8,.215,.399,0,,.230,.417,92.5,8.2,44.5,27.0,
Varsho, Daulton,662139,2021,25,315,11,.246,.437,6,,.248,.430,87.7,18,39.9,28.4,
Nootbaar, Lars,663457,2021,24,124,5,.239,.422,2,,.213,.344,89.1,12.1,36.1,28.4,
Hoerner, Nico,663538,2021,24,170,0,.302,.369,5,,.279,.358,87,7.7,34.4,28.8,
Riley, Austin,663586,2021,24,662,33,.303,.531,0,,.279,.508,90.1,14.2,45.6,27.8,
Madrigal, Nick,663611,2021,24,215,2,.305,.425,1,,.263,.328,85.5,1.7,23.4,28.1,
Larnach, Trevor,663616,2021,24,301,7,.223,.350,1,,.209,.372,90,13.1,41.1,26.5,
Mountcastle, Ryan,663624,2021,24,586,33,.255,.487,4,,.245,.457,89.1,16.3,39.7,28.1,
McKenna, Ryan,663630,2021,24,197,2,.183,.266,1,,.200,.307,86.5,11.6,34,29.3,
Hayes, Ke'Bryan,663647,2021,24,396,6,.257,.373,9,,.247,.367,90.2,2.6,45.8,27.8,
Tucker, Kyle,663656,2021,24,567,30,.294,.557,14,,.307,.580,91.4,17.6,47.5,27.4,
Cameron, Daz,663662,2021,24,115,4,.194,.359,6,,.202,.355,88.7,11.9,43.1,28.2,
India, Jonathan,663697,2021,25,631,21,.269,.459,12,,.259,.441,87.6,13,38.7,28.5,
Raleigh, Cal,663728,2021,25,148,2,.180,.309,0,,.179,.292,88,17.1,35.2,27.0,
Grisham, Trent,663757,2021,25,527,15,.242,.413,13,,.241,.368,88.8,12.3,36.8,28.8,
Vierling, Matt,663837,2021,25,77,2,.324,.479,2,,.291,.407,91.5,6.3,53.8,29.2,
Stephenson, Tyler,663886,2021,25,402,10,.286,.431,0,,.257,.390,88.4,7.4,38.2,26.9,
Williams, Luke,663897,2021,25,108,1,.245,.316,2,,.226,.280,84.7,3.2,25.3,28.9,
Rodgers, Brendan,663898,2021,25,415,15,.284,.470,0,,.251,.411,88.8,6.3,40.3,26.8,
Lowe, Nathaniel,663993,2021,26,642,18,.264,.415,8,,.236,.400,90.8,5,45.5,27.3,
Happ, Ian,664023,2021,27,535,25,.226,.434,9,,.220,.399,89.5,9.9,41.7,27.7,
France, Ty,664034,2021,27,650,18,.291,.445,0,,.269,.434,88.5,11,38.9,25.3,
Lowe, Brandon,664040,2021,27,615,39,.247,.523,7,,.249,.498,89.3,16.9,43.1,27.6,
Bader, Harrison,664056,2021,27,401,16,.267,.460,9,,.232,.393,86.2,13.3,31.7,29.5,
Stevenson, Andrew,664057,2021,27,213,5,.229,.339,1,,.237,.361,89.6,8.4,44.8,29.3,
Fletcher, David,664058,2021,27,665,2,.262,.324,15,,.271,.319,82.3,8.4,15.7,27.7,
Haggerty, Sam,664059,2021,27,94,2,.186,.291,5,,.218,.372,87.5,7.6,39,29.5,
Moore, Dylan,664238,2021,29,377,12,.181,.334,21,,.204,.348,86.5,20.4,33.3,28.4,
Garlick, Kyle,664247,2021,29,107,5,.232,.465,1,,.250,.515,88.4,20.1,41.2,26.8,
Straw, Myles,664702,2021,27,638,4,.271,.348,30,,.260,.337,87.1,11.9,26.2,29.3,
Isbel, Kyle,664728,2021,24,83,1,.276,.434,2,,.204,.286,87.3,19,30.2,28.2,
Bohm, Alec,664761,2021,25,417,7,.247,.342,4,,.264,.395,92,5.6,49.5,27.8,
Wade Jr., LaMonte,664774,2021,27,381,18,.253,.482,6,,.256,.473,90.1,19.8,41.7,26.5,
Tom, Ka'ai,664789,2021,27,133,2,.139,.231,1,,.193,.277,84.2,9.5,29.3,28.1,
Mazeika, Patrick,664850,2021,28,87,1,.190,.266,0,,.189,.270,87,12.2,21,25.8,
Zavala, Seby,664874,2021,28,104,5,.183,.376,0,,.142,.284,88,16.2,34.5,25.7,
Mendick, Danny,664901,2021,28,186,2,.220,.287,0,,.201,.273,84.1,13.7,28.5,26.6,
Brown, Seth,664913,2021,29,307,20,.214,.480,4,,.225,.462,88.9,20.9,40.2,28.1,
Walsh, Jared,665120,2021,28,585,29,.277,.509,2,,.255,.431,89.6,7.8,41.3,27.0,
Maton, Nick,665155,2021,24,131,2,.256,.385,2,,.226,.337,87.8,17.3,35,27.2,
Tatis Jr., Fernando,665487,2021,22,546,42,.282,.611,25,,.278,.610,93.9,13.8,55.6,29.3,
Guerrero Jr., Vladimir,665489,2021,22,698,48,.311,.601,4,,.305,.586,95.1,9.4,55.2,26.8,
Soto, Juan,665742,2021,23,654,29,.313,.534,9,,.304,.543,93,5.8,52.7,27.0,
Taveras, Leody,665750,2021,23,185,3,.161,.270,10,,.211,.315,87.2,7,35.7,29.7,
Chisholm Jr., Jazz,665862,2021,23,507,18,.248,.425,23,,.238,.408,90.2,9,42,29.1,
Gimenez, Andres,665926,2021,23,210,5,.218,.351,11,,.210,.318,86.3,9,30.4,29.0,
Kirilloff, Alex,666135,2021,24,231,8,.251,.423,1,,.290,.535,91,7,43.9,27.4,
Lux, Gavin,666158,2021,24,381,7,.242,.364,4,,.260,.387,89.8,11.3,40.2,29.1,
Rortvedt, Ben,666163,2021,24,98,3,.169,.281,0,,.205,.348,84.6,13.7,29,26.7,
Adell, Jo,666176,2021,22,140,4,.246,.408,2,,.254,.409,86.2,10.1,31.3,29.9,
Bichette, Bo,666182,2021,23,690,29,.298,.484,25,,.291,.488,91.4,7.3,47.5,28.0,
Carlson, Dylan,666185,2021,23,619,18,.266,.437,2,,.246,.404,88.2,15.1,31.1,28.0,
Kieboom, Carter,666198,2021,24,249,6,.207,.318,0,,.231,.343,85.3,7.4,36.3,27.4,
Trammell, Taylor,666211,2021,24,178,8,.160,.359,2,,.143,.265,85.9,14.9,37.3,28.0,
Castro, Rodolfo,666801,2021,22,93,5,.198,.395,0,,.217,.384,89,8.6,37.3,27.4,
Dalbec, Bobby,666915,2021,26,453,25,.240,.494,2,,.235,.521,92.4,17.3,48.1,28.2,
Garcia, Adolis,666969,2021,28,622,31,.243,.454,16,,.223,.425,91,14.7,45.5,28.4,
Gurriel Jr., Lourdes,666971,2021,28,541,21,.276,.466,1,,.270,.458,89.7,10.5,43,26.6,
Rooker Jr., Brent,667670,2021,27,213,9,.201,.397,0,,.238,.461,91,13.1,48.7,27.3,
Arozarena, Randy,668227,2021,26,604,20,.274,.459,20,,.220,.366,89.9,7.6,42.3,28.8,
Barrera, Tres,668663,2021,27,107,2,.264,.385,0,,.243,.340,82,11.2,24.6,24.7,
Rogers, Jake,668670,2021,26,127,6,.239,.496,1,,.211,.407,90.7,26.9,38.6,27.2,
Baddoo, Akil,668731,2021,23,461,13,.259,.436,18,,.227,.403,86,13.8,32.3,28.9,
Knizner, Andrew,668800,2021,26,185,1,.174,.236,0,,.203,.298,87.5,7.8,36.9,25.7,
Reynolds, Bryan,668804,2021,26,646,24,.302,.522,5,,.293,.521,89.4,13.4,40.8,28.7,
Rojas, Josh,668942,2021,27,550,11,.264,.411,9,,.236,.356,88.2,8.4,31.1,27.6,
Marsh, Brandon,669016,2021,24,260,2,.254,.356,6,,.265,.414,92.1,7.9,51.7,29.1,
Murphy, Sean,669221,2021,27,448,17,.216,.405,0,,.239,.436,89.2,15.4,42.6,25.8,
Senzel, Nick,669222,2021,26,124,1,.252,.315,2,,.310,.438,88.9,10.5,39.6,29.1,
Edman, Tommy,669242,2021,26,691,11,.262,.387,30,,.274,.404,87.6,9.5,35.3,28.9,
Solak, Nick,669256,2021,26,511,11,.242,.362,7,,.237,.360,86.9,7,33.5,29.0,
Smith, Will,669257,2021,26,501,25,.258,.495,3,,.249,.468,90.1,19.4,43.8,27.8,
Johnson, Daniel,669288,2021,26,81,4,.221,.377,1,,.208,.375,89.3,20.5,44,28.3,
Espinal, Santiago,669289,2021,27,246,2,.311,.405,6,,.267,.346,84.8,13.1,22.8,27.3,
Hiura, Keston,669374,2021,25,197,4,.168,.301,3,,.181,.360,90.7,16.3,41.4,27.3,
Hays, Austin,669720,2021,26,529,22,.256,.461,4,,.245,.432,88.8,12.5,39.2,27.4,
Lopez, Nicky,670032,2021,26,565,2,.300,.378,22,,.239,.304,86.8,2.8,26.9,28.2,
Short, Zack,670097,2021,26,184,6,.141,.282,2,,.153,.272,87.5,24.3,33,28.4,
Rojas, Jose,670351,2021,28,184,6,.208,.399,2,,.214,.388,90.7,19,44.1,27.2,
Young, Andrew,670370,2021,27,104,6,.209,.484,0,,.194,.421,88.8,13.3,46.8,28.2,
Alvarez, Yordan,670541,2021,24,598,33,.277,.531,1,,.280,.568,93.2,14.1,54.2,26.3,
Paredes, Isaac,670623,2021,22,85,1,.208,.319,0,,.225,.307,85.5,18,25.4,26.4,
Brosseau, Mike,670712,2021,27,169,5,.187,.347,2,,.204,.333,90.1,18.2,40.4,27.9,
Walls, Taylor,670764,2021,25,176,1,.211,.296,4,,.208,.308,88.5,12.2,33.7,28.6,
Garcia, Luis,671277,2021,21,247,6,.242,.411,0,,.240,.364,86.8,4.1,30.6,27.0,
Kelenic, Jarred,672284,2021,22,377,14,.181,.350,6,,.218,.407,87.5,14.4,39.2,27.2,
Kirk, Alejandro,672386,2021,23,189,8,.242,.436,0,,.288,.511,92.3,14.7,46.9,24.7,
Robert, Luis,673357,2021,24,296,13,.338,.567,6,,.297,.535,91.2,13.8,45.1,28.0,
Akiyama, Shogo,673451,2021,33,183,0,.204,.253,2,,.234,.306,86.5,1.9,31.5,28.1,
Kim, Ha-Seong,673490,2021,26,298,8,.202,.352,6,,.209,.309,86.7,13.6,31.8,28.4,
Clement, Ernie,676391,2021,25,133,3,.231,.339,0,,.251,.351,86.7,15,24.8,28.4,
Meyers, Jake,676694,2021,25,163,6,.260,.438,3,,.247,.426,89.5,9.9,36.4,29.2,
McCormick, Chas,676801,2021,26,320,14,.257,.447,4,,.223,.422,90.3,18.6,49.2,28.8,
Franco, Wander,677551,2021,20,308,7,.288,.463,2,,.281,.414,88.2,9.7,37.6,28.5,
Duran, Jarren,680776,2021,25,112,2,.215,.336,2,,.223,.306,89.6,7.8,39.7,29.3,
Jeffers, Ryan,680777,2021,24,293,14,.199,.401,0,,.206,.415,89.2,14,44,25.8,
Miller, Owen,680911,2021,25,202,4,.204,.309,2,,.222,.342,86.4,6,32.6,29.1,
Vaughn, Andrew,683734,2021,23,469,15,.235,.396,1,,.241,.430,91.1,9.7,47.3,26.4,
